id,城市,市区,标题,户型,面积,方位,楼层,时间,所属小区,所属区域,总价,均价,房龄
2090,fuzhou,仓山,仓山区！地铁口   ！精装交付现房！南北通透！  即住,3 室 2 厅 2 卫,95㎡,南北,中层(共7层),2024年建造,福州滨江左岸,仓山 白湖亭 南三环路,98万,10316元/㎡,2024年建造
2091,fuzhou,平潭,金地天禧 小三居 南北通透 商品住宅 有电梯 精装修,3 室 2 厅 2 卫,107㎡,南北,高层(共17层),2025年建造,金地天禧,平潭 岚城片区 龙凤中路6号,135万,12617元/㎡,2025年建造
2092,fuzhou,晋安,五里亭地铁口 一梯一户 低密纯商现房 配套齐全 出行方便！,4 室 2 厅 2 卫,112.91㎡,南北,低层(共18层),2026年建造,左海星悦颂,晋安 王庄 秀坂路9号,293.8万,26021元/㎡,2026年建造
2093,fuzhou,晋安,五里亭地铁口！户型方正一梯一户！来电立剪30 ！手续清晰,4 室 2 厅 2 卫,111㎡,南北,低层(共18层),2026年建造,左海星悦颂,晋安 王庄 秀坂路9号,289万,26037元/㎡,2026年建造
2094,fuzhou,仓山,价格可谈！临地铁，交通便利，央企精装现房，双卫格局，带电梯,3 室 2 厅 2 卫,97㎡,南北,低层(共7层),2024年建造,福州滨江左岸,仓山 白湖亭 南三环路,95万,9794元/㎡,2024年建造
2095,fuzhou,仓山,远洋天赋132平方！精装现房拎包入住！4房2厅2卫  即住,4 室 2 厅 2 卫,132㎡,南北,低层(共18层),2024年建造,远洋天赋,仓山 火车南站 南江滨东大道,135万,10228元/㎡,2024年建造
2096,fuzhou,晋安,保利新房一梯一户丨4开间朝南丨精装修送重要空调丨有车位,4 室 2 厅 2 卫,130㎡,南北,高层(共18层),2025年建造,保利招商和樾风华,晋安 王庄 连洋西路,419万,32231元/㎡,2025年建造
2097,fuzhou,仓山,浦上万达 建发玺云四房488万,4 室 2 厅 2 卫,149㎡,西南,高层(共26层),2024年建造,建发玺云,仓山 仓山万达 凤岗路,488万,32752元/㎡,2024年建造
2098,fuzhou,晋安,总价70万 急售 价格可谈 单价 9000即可 精装拎包入住,3 室 2 厅 2 卫,80.05㎡,南北,高层(共17层),2026年建造,福州熙悦府,晋安 五四北 泉头村,80.5万,10057元/㎡,2026年建造
2099,fuzhou,仓山,仓山区精装现房丨低总价大三房丨三条地铁交汇丨急售丨可谈价,2 室 1 厅 1 卫,68㎡,南北,高层(共13层),2024年建造,首开融创榕耀之城B区,仓山 福峡路 螺城路48号,89万,13089元/㎡,2024年建造
2100,fuzhou,仓山,仁彬实拍 白湖亭 精装修房 次新房 拎包入住  采光足,2 室 2 厅 1 卫,75㎡,南北,低层(共15层),2024年建造,园书新苑,仓山 连江南路 北园路,70万,9334元/㎡,2024年建造
2101,fuzhou,马尾,中建元亨府 双卫生间 次新小区 出行方便 临地铁 朝南,3 室 2 厅 2 卫,147.92㎡,南,低层(共32层),2024年建造,中建元亨府,马尾 江滨东大道 葆祯路99号,178万,12034元/㎡,2024年建造
2102,fuzhou,仓山,远洋天赋 精装可拎包入住 楼层好 车位充足 近地铁 产权清晰,4 室 2 厅 2 卫,132㎡,南北,中层(共18层),2024年建造,远洋天赋,仓山 火车南站 南江滨东大道,120万,9091元/㎡,2024年建造
2103,fuzhou,仓山,商圈成熟 商品房 次新房 近地铁 南北通透 交通便捷,4 室 2 厅 2 卫,120.78㎡,南北,高层(共16层),2024年建造,大东海中央府A区,仓山 则徐大道 郭宅路,120万,9936元/㎡,2024年建造
2104,fuzhou,马尾,名城悦郡 临地铁 精装修 满五唯一 新房 商品房,2 室 2 厅 1 卫,45㎡,南北,低层(共30层),2024年建造,名城悦郡,马尾 江滨东大道 船政路99号,60万,13334元/㎡,2024年建造
2105,fuzhou,闽侯,万科城市花园 3室2厅2卫,3 室 2 厅 2 卫,87㎡,南,高层(共27层),2024年建造,万科城市花园,闽侯 荆溪 荆溪东大道62号,61万,7012元/㎡,2024年建造
2106,fuzhou,连江,毛坯三方周边配套齐全,3 室 1 厅 2 卫,89㎡,南,中层(共25层),2025年建造,恒宇国际尚悦,连江 县城 站东路10号,80万,8989元/㎡,2025年建造
2107,fuzhou,仓山,新出 单价不过万 3.1层高 1T1H 地铁   广场,4 室 2 厅 2 卫,132.75㎡,南北,中层(共15层),2025年建造,大东海中央公馆,仓山 则徐大道 郭宅路,124万,9341元/㎡,2025年建造
2108,fuzhou,闽侯,房东包税丨上街省委党校对面丨洋房小区丨公摊小丨南北通透,3 室 2 厅 2 卫,83㎡,南北,低层(共12层),2024年建造,恒荣蓝泽悦滨江,闽侯 上街 侯官大道9号,80万,9639元/㎡,2024年建造
2109,fuzhou,仓山,急！就这1套！精装三房双卫 端头中间层 南北通透丨榕耀之城,3 室 2 厅 2 卫,89㎡,南北,高层(共11层),2025年建造,首开融创榕耀之城B区,仓山 福峡路 螺城路48号,115.8万,13012元/㎡,2025年建造
2110,fuzhou,平潭,璀璨天城 91平 7900,3 室 2 厅 1 卫,91㎡,南北,高层(共33层),2025年建造,平潭世茂璀璨天城,平潭 金井湾 如意纵一路1号,72万,7913元/㎡,2025年建造
2111,fuzhou,台江,国贸天琴樾 四代生态住宅 精装四房三卫 双露台 新小区 台江,4 室 2 厅 3 卫,185㎡,南北,高层(共32层),2024年建造,国贸天琴樾,台江 万宝 斗池路,740万,40000元/㎡,2024年建造
2112,fuzhou,台江,万宝 商圈成熟 带电梯 交通便利 次新房 东南户型 近地铁,4 室 2 厅 3 卫,188㎡,东南,中层(共32层),2026年建造,国贸天琴樾,台江 万宝 斗池路,935万,49735元/㎡,2026年建造
2113,fuzhou,连江,毛坯周边配套齐全，地段好,3 室 2 厅 2 卫,104㎡,南,中层(共25层),2025年建造,恒宇国际尚悦,连江 县城 站东路10号,95万,9135元/㎡,2025年建造
2114,fuzhou,晋安,保利国贸天琴湖 晋安湖畔 四代宅 业主诚意出售 随时可看房,4 室 2 厅 3 卫,143㎡,南北,中层(共32层),2024年建造,保利国贸天琴湖,晋安 前横路 前横路,408万,28532元/㎡,2024年建造
2115,fuzhou,仓山,金山地铁口必看房源！品质社区！全屋大金中央空调精装现房！,4 室 2 厅 2 卫,132㎡,南北,高层(共18层),2024年建造,万科城市之光,仓山 金山大道 妙高路,N/A,N/A,2024年建造
2116,fuzhou,闽侯,万科城市花园三房两厅，两位带草地,3 室 2 厅 2 卫,86㎡,东南,低层(共27层),2024年建造,万科城市花园,闽侯 荆溪 荆溪东大道62号,48万,5582元/㎡,2024年建造
2117,fuzhou,闽侯,上街 小三房 中间好楼层 商品房 精装好房 商业配套成熟,3 室 2 厅 1 卫,79㎡,南北,中层(共20层),2024年建造,保利阅江台(B区),闽侯 上街 侯官大道39号,70万,8861元/㎡,2024年建造
2118,fuzhou,晋安,618置业正当时，熙悦府首付10个，618专属福利，专车接送,3 室 2 厅 2 卫,79.33㎡,南北,高层(共17层),2024年建造,福州熙悦府,晋安 五四北 泉头村,82.8万,10438元/㎡,2024年建造
2119,fuzhou,闽侯,保利阅江台(B区) 高楼层视野无遮挡 产权清晰 南向采光好,3 室 2 厅 1 卫,78㎡,南,高层(共15层),2025年建造,保利阅江台(B区),闽侯 上街 侯官大道39号,69万,8847元/㎡,2025年建造
2120,fuzhou,晋安,独户 纯商品房 高层东端户 南北通透 临地铁 毛坯品质住宅,5 室 2 厅 3 卫,160㎡,南北,高层(共20层),2024年建造,榕发悦乐郡(三区),晋安 东二环 塔头路385号,458万,28625元/㎡,2024年建造
2121,fuzhou,仓山,新出 带大花园 现房 改善大平层 江南尚璟,4 室 2 厅 3 卫,125.37㎡,南北,低层(共8层),2025年建造,建总江南尚璟,仓山 连江南路 东藤路,295万,23531元/㎡,2025年建造
2122,fuzhou,仓山,5.6米层高 单身公寓   即住 地铁口 可出租可自住,2 室 2 厅 2 卫,39㎡,南北,低层(共26层),2025年建造,万科云城,仓山 火车南站 三江路3号,33万,8462元/㎡,2025年建造
2123,fuzhou,晋安,五四北！近泰禾广场！电梯精装中层三房两卫！拎包入住,3 室 2 厅 2 卫,79.37㎡,南北,中层(共16层),2025年建造,福州熙悦府,晋安 五四北 泉头村,71万,8946元/㎡,2025年建造
2124,fuzhou,晋安,保利国贸天琴湖，高层偶数层，中心  ，全景晋安湖，急售可谈！,4 室 2 厅 3 卫,188㎡,东南,高层(共32层),2024年建造,保利国贸天琴湖,晋安 前横路 前横路,558万,29681元/㎡,2024年建造
2125,fuzhou,台江,望熙雅筑A区 3室2厅1卫,3 室 2 厅 1 卫,90㎡,西南,高层(共29层),2025年建造,榕发望熙雅筑A区,台江 万宝 交通西路,165万,18334元/㎡,2025年建造
2126,fuzhou,台江,望熙雅筑A区 3室1厅1卫,3 室 1 厅 1 卫,90㎡,南,低层(共29层),2025年建造,榕发望熙雅筑A区,台江 万宝 交通西路,149万,16556元/㎡,2025年建造
2127,fuzhou,台江,望熙雅筑  90平   一套精装在售 端头户型 三房,3 室 2 厅 1 卫,89㎡,南北,中层(共20层),2025年建造,榕发望熙雅筑A区,台江 万宝 交通西路,188万,21124元/㎡,2025年建造
2128,fuzhou,仓山,万科城市之光 南向采光好 中间好楼层 产权清晰 装修好,3 室 2 厅 2 卫,89㎡,南,中层(共18层),2025年建造,万科城市之光,仓山 金山大道 妙高路,N/A,N/A,2025年建造
2129,fuzhou,台江,望熙雅筑A区 3室2厅1卫,3 室 2 厅 1 卫,88.8㎡,南,中层(共20层),2025年建造,榕发望熙雅筑A区,台江 万宝 交通西路,158万,17793元/㎡,2025年建造
2130,fuzhou,台江,必卖！宁化地铁口 次新房 端头精装修三房 户型方正价格可谈,3 室 2 厅 1 卫,81㎡,南北,高层(共26层),2024年建造,春江茗郡,台江 万宝 白马南路289号,180万,22223元/㎡,2024年建造
